timestamp,nl_query,expected_sql,generated_sql,score,notes
2026-04-13T09:56:09.226006,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.230616,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.234643,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.238592,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.242352,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.246236,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.249877,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.254321,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.258362,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.262291,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.265961,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.270030,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.274892,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.279494,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.283662,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.288499,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.292156,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.297106,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.302207,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.307346,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.312991,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
